filename,width,height,class,xmin,ymin,xmax,ymax
image0.png,512,512,donut,207,143,333,285
image1.png,512,512,donut,262,157,324,311
image2.png,512,512,donut,253,122,411,267
image3.png,512,512,donut,268,146,420,301
image4.png,512,512,donut,243,185,401,286
image5.png,512,512,donut,249,128,324,283
image6.png,512,512,donut,242,166,301,324
image7.png,512,512,donut,199,135,363,296
image8.png,512,512,donut,263,160,391,318
image9.png,512,512,donut,205,168,373,249
image10.png,512,512,donut,232,140,319,304
image11.png,512,512,donut,225,145,384,284
image12.png,512,512,donut,227,103,377,253
image13.png,512,512,donut,231,147,380,291
image14.png,512,512,donut,234,152,364,302
image15.png,512,512,donut,224,152,391,315
image16.png,512,512,donut,206,143,359,266
image17.png,512,512,donut,192,170,337,307
image18.png,512,512,donut,221,148,372,263
image19.png,512,512,donut,181,194,337,262
image20.png,512,512,donut,198,179,351,302
image21.png,512,512,donut,265,137,328,296
image22.png,512,512,donut,208,183,321,315
image23.png,512,512,donut,217,133,373,228
image24.png,512,512,donut,191,158,347,303
image25.png,512,512,donut,285,133,402,294
image26.png,512,512,donut,239,178,397,244
image27.png,512,512,donut,211,155,367,317
image28.png,512,512,donut,224,184,374,280
image29.png,512,512,donut,218,127,299,289
image30.png,512,512,donut,204,175,363,335
image31.png,512,512,donut,199,204,361,316
image32.png,512,512,donut,286,125,351,289
image33.png,512,512,donut,245,166,304,322
image34.png,512,512,donut,304,159,386,318
image35.png,512,512,donut,279,139,366,300
image36.png,512,512,donut,259,153,317,307
image37.png,512,512,donut,224,180,383,308
image38.png,512,512,donut,213,136,370,284
image39.png,512,512,donut,234,135,397,298
image40.png,512,512,donut,212,127,338,281
image41.png,512,512,donut,247,146,405,284
image42.png,512,512,donut,216,123,375,275
image43.png,512,512,donut,243,129,346,285
image44.png,512,512,donut,198,148,316,308
image45.png,512,512,donut,215,155,356,268
image46.png,512,512,donut,243,135,336,287
image47.png,512,512,donut,255,148,337,310
image48.png,512,512,donut,232,126,378,282
image49.png,512,512,donut,205,167,356,326
image50.png,512,512,donut,259,138,360,289
image51.png,512,512,donut,257,145,306,308
image52.png,512,512,donut,243,151,402,316
image53.png,512,512,donut,208,157,361,302
image54.png,512,512,donut,280,135,384,289
image55.png,512,512,donut,233,143,365,277
image56.png,512,512,donut,230,135,333,285
image57.png,512,512,donut,231,174,375,329
image58.png,512,512,donut,233,158,376,311
image59.png,512,512,donut,259,153,317,306
image60.png,512,512,donut,230,143,369,284
image61.png,512,512,donut,232,121,386,273
image62.png,512,512,donut,272,157,330,321
image63.png,512,512,donut,188,111,340,268
image64.png,512,512,donut,216,175,348,281
image65.png,512,512,donut,257,178,388,309
image66.png,512,512,donut,249,168,377,324
image67.png,512,512,donut,251,120,402,273
image68.png,512,512,donut,253,162,388,310
image69.png,512,512,donut,250,168,405,281
image70.png,512,512,donut,191,126,332,287
image71.png,512,512,donut,243,154,322,306
image72.png,512,512,donut,276,122,366,274
image73.png,512,512,donut,212,168,334,326
image74.png,512,512,donut,261,131,328,286
image75.png,512,512,donut,223,190,376,252
image76.png,512,512,donut,266,141,326,296
image77.png,512,512,donut,252,146,389,311
image78.png,512,512,donut,207,141,370,298
image79.png,512,512,donut,222,176,361,310
image80.png,512,512,donut,242,155,397,272
image81.png,512,512,donut,228,173,388,316
image82.png,512,512,donut,234,162,392,309
image83.png,512,512,donut,201,153,361,273
image84.png,512,512,donut,194,123,359,292
image85.png,512,512,donut,235,133,396,294
image86.png,512,512,donut,295,126,373,291
image87.png,512,512,donut,270,150,425,312
image88.png,512,512,donut,222,135,357,301
image89.png,512,512,donut,237,160,343,324
image90.png,512,512,donut,230,152,355,314
image91.png,512,512,donut,236,157,348,321
image92.png,512,512,donut,246,164,396,316
image93.png,512,512,donut,276,154,357,318
image94.png,512,512,donut,248,146,365,304
image95.png,512,512,donut,239,138,383,295
image96.png,512,512,donut,221,120,357,273
image97.png,512,512,donut,252,132,355,290
image98.png,512,512,donut,256,128,389,252
image99.png,512,512,donut,232,200,376,321
image100.png,512,512,donut,249,143,315,299
image101.png,512,512,donut,236,154,327,305
image102.png,512,512,donut,265,149,392,313
image103.png,512,512,donut,272,148,319,304
image104.png,512,512,donut,214,134,339,275
image105.png,512,512,donut,272,128,405,272
image106.png,512,512,donut,270,146,334,305
image107.png,512,512,donut,213,163,365,257
image108.png,512,512,donut,202,179,367,264
image109.png,512,512,donut,250,177,363,309
image110.png,512,512,donut,225,164,379,299
image111.png,512,512,donut,222,127,381,293
image112.png,512,512,donut,240,162,337,308
image113.png,512,512,donut,238,153,398,228
image114.png,512,512,donut,234,130,335,297
image115.png,512,512,donut,225,125,369,240
image116.png,512,512,donut,209,160,352,278
image117.png,512,512,donut,231,190,382,299
image118.png,512,512,donut,214,137,355,266
image119.png,512,512,donut,255,161,387,318
image120.png,512,512,donut,202,194,367,237
image121.png,512,512,donut,219,174,377,263
image122.png,512,512,donut,208,135,319,292
image123.png,512,512,donut,208,125,362,287
image124.png,512,512,donut,212,138,360,294
image125.png,512,512,donut,247,108,332,269
image126.png,512,512,donut,230,186,380,327
image127.png,512,512,donut,208,133,324,283
image128.png,512,512,donut,265,177,362,337
image129.png,512,512,donut,290,160,369,318
image130.png,512,512,donut,291,159,395,318
image131.png,512,512,donut,235,164,367,321
image132.png,512,512,donut,184,151,341,270
image133.png,512,512,donut,251,150,349,296
image134.png,512,512,donut,232,160,387,307
image135.png,512,512,donut,207,138,365,284
image136.png,512,512,donut,232,174,376,258
image137.png,512,512,donut,230,141,335,289
image138.png,512,512,donut,229,150,399,309
image139.png,512,512,donut,237,146,346,275
image140.png,512,512,donut,214,127,319,281
image141.png,512,512,donut,256,113,397,279
image142.png,512,512,donut,231,192,366,323
image143.png,512,512,donut,262,159,384,302
image144.png,512,512,donut,205,160,351,311
image145.png,512,512,donut,242,154,368,310
image146.png,512,512,donut,228,178,378,267
image147.png,512,512,donut,199,205,367,262
image148.png,512,512,donut,258,141,365,279
image149.png,512,512,donut,246,136,336,298
image150.png,512,512,donut,266,188,403,304
